id,comment
1,"feminista: **apuntando a cual quier hombre normal** el violador eres tu
el hombre: ke"
00001-01,Gaya gachalifero
00001-02,Calla gachalifero
00001-03,@user no puedo comentar tranquilo sin que me anden comentando m1erda!
00001-04,@user perdon no entiendo el idioma de niños con depression que hacen gachalife y que se cren grasiosos pq no haces tus propias animaciones en vez de usar gachalife O eres ta malo para dibujar??
00001-05,@user aparte ya vi uno de tus videos y tu voz es de un niño de 10-12 años
00001-06,"@user si soy malo para dibujar, MALISIMO, y no estoy en depresion, solamente no puedo estar tranquilo sin que gente como tu me @usera a tirar m1erda"
00001-07,"@user y si tengo 12 años, que tiene de malo?"
00001-08,@user tienes 12?? :v
00001-09,@user si
00001-10,@user no viste la descripción del canal?
00001-11,@user a yo igual :v
00001-12,@user lol :v
00001-13,@user XD(☞ ᐛ )☞
00001-14,"Es una canción para los violadores no para todos los hombre,piensen un poco porfavor"
00001-15,Informate
00001-16,"Es una coreografía ridículo, si no sos violador no tendría por qué ofenderte."
00001-17,@user Se enojo la feminista es solo umor entiendes umor y no deberias de decir ridiculo pq el lo iso con intension de umooor
00001-18,"@user También hay hombres anormales que no violan. Así que, más bien sería que enoja porque apunta a todos los hombres independientemente de su inocencia o culpabilidad."
00001-19,@user por fin alguien con neuronas
00001-20,@user però tu eres tonto ? Estuviera generalizando si dijera “ el hombre eras tú “ si tú te sientes identificado como violador pues será por algo
00001-21,@user que pedo contigo el man apenas es un niño y le dices violador y tonto
00001-22,PeRo Si SoLo SoY uN nIñO :'(
00001-23,@user nos estas diciendo sin neuronas si es Asi que miserable eres
00001-24,primero para mi se equivocaron yo creo que cualquier hombre que tenga preferencias sexuales hacia la mujer la ha visto alguna vez de una forma morbosa asi que esta cancion tiene mucha razon
00001-25,@user o sea que todos somos viol4dores?
00001-26,"@user ps,tranqui,es que no es tan complicado entender de queva la cancion,si no eres violador no te tendria que ofender,la cancion va dirigida a los violadores"
2,Ojo el feminismo es atacado y no se lo toman en serio si no hacen memes y al machismo por lo regular no le hacen nada yo pienso que esto será una lucha sin final por quien tiene la razón.
3,No mamen ya felizes las feministas
4,Jajajaja me dan risa y lastima viejas pagadas por el pri
5,Si un baile fuera la solución para acabar con lo feminicidios. Lo apoyo y creo que es algo bueno para dar a conocer la marcha
6,Ahora a casa que hay que hacer la cena!!!
00006-1,¿sos tan inútil que no podés cocinarte siquiera?
00006-2,El que entendió entemdio
7,"no no es tu culpa de donde estabas y como vestias, como tampoco es mi culpa si me meto a una zona brava solo con mi celular en la mano y me lo roban, no es mi culpa xd"
8,K viejas Max estúpidas
9,"Esto lo podria definir en 2 palabras ""verguenza agena"""
00009-1,mas vergüenza me da tu manera de escribir <3 besis
00009-2,Encontramos a una Grammar nazi
10,Cuando sale el pack?
11,Yo vine para escuchar el original y el remix.
12,"En el estribillo les faltó el asesino eres tú aparte del violador .... Debería ser el violador asesino eres tú , el asesino violador ere tu"
00012-1,Cualquiera de las dos estaría más que bien no ? Justicia por todas nuestras pares y quién dice que un día no muy lejano sea una más 🤦e
00012-2,"No amigo no soy feminazi ,solo que estoy arta de ver cómo nos violan y matan con tanta impunidad las leyes acá en Argentina son muy flojas y si miras las estadísticas de las muertes diarias por femicidio te vas a dar cuenta 🤷 yo creo que está canción habla del pervertido que no puede manejar sus instintos de macho y no juzgo a todos los hombres por igual !! Ok solo al que mira a una Niña como una mujer adulta y a una adulta como un objeto y no ! Como un ser humano par suyo ,nos destruyen de todas las maneras posibles psicológicamente , con maltrato físico y el estado no hace nada !!! No una condena que ejemplifique para que no suceda nunca más !!! Justo cuando di mi opinión mataron acá en mi ciudad a Fátima y va a ser una más de todas las que seguiremos siendo víctimas ! Hoy en día nadie está exenta ! Porque no hacen nada !!!!!!"
00012-3,@user adoctrinada
13,Basta de cantar AHORA @userAN A COSINAR
14,Leonel me violó :(
00014-1,?
15,Entonces soy un violador y no lo sabía?
16,Ánimo que hay hombres violadores hay mujeres violadoras que han violado a niñosprofesoras cambia a sus alumnos a menores han salido con menores con esa profesora de la que salió con 17 años y tuvo hijos con los hombres también hay mujeres que abusan de los
00016-1,Práctica mente muren más hombres que mujeres y los hombres no van a dicen y la matadora eres tuu ni inventan un día para no salir de su casa yo soy mujer y no me importa 🤷‍♀️ @_x6d206f6e_
17,"Pero si le ponen la canción, le da una depresión tonta , llorando lo comienza a llamar"
00017-1,Jajajajajajaja🤣🤣_x7b3cfed__x0001_
00017-2,c mamo
18,"Todas son unas viejas olgasanas guebonas y que en sus casas tiene la casa asquerosa ..en ves de perder el tiempo en arguendes ,pónganse a trabajar"
19,Jajajajajajajajajaja que estupidez 😂😂😂😂😂83mOs
00019-1,"mirate ridículo, machito que no tiene argumentos insultando un himno tan significativo"
00019-2,haber explicate por que es estupido.. Veamos si tu cerebro te da para pensar un poco
00019-3,"@user tan significativo? JAJAJAJAJAJAJAJAJA
Es una estupidez ver a una bola de gordas y solteronas amargadas hacer esta perdidade tiempo, un bailecito embarazoso y una letra aun mas vergonzosa, ya me imagino a los feminicidas corriendo de pavor o diciendo ""guau que baile, ya vamos a dejar de atacar a las mujeres por esto"" pero mega gordas como tu nunca ven eso, el chiste es hacer idioteces que no sirven de nada.
Pero bueno, que bien que te ardiste por mi comentario, solterona mantecosa 👍😉jajajajaja"
00019-4,"no por nada puedes ver la mar de burlas y memes en estos comentarios, eso es lo unico que lograron estupidas, hacernos reir y mucho 😂😂😂😂😂😂😂😂😂
Felicidades taradas, bravo 👏👏👏👏👏👏👏👏😂"
20,la cantidad de comentarios estúpidos en esta sección de comentarios ...
00020-1,Es que esas mujeres son estúpidas sjjsjsjjsjs salu2
00020-2,@user qué es lo que tu le ves de estúpido a manifestarse en contra de algo que las ha oprimido durante años?
00020-3,@user es estúpido por qué eso no parará a ningún violador en ves de estar haciendo esas pendejadas y exponerse como estúpidas que son tienen que ir a juntar firmas para parar eso
00020-4,"@user JAJAJAJ juntar firmas??? tu crees que eso va a parar a los violadores??? mira se nota que no captaste el propósito. la idea es quitar esa idea de que la víctima tiene la culpa, siempre dicen que era la ropa la hora o etc, pero en realidad la culpa es meramente del violador"
00020-5,@user al violador le chupa un huevo que hagan su cancioncitas o destruyar propiedad publica como en mexico
00020-6,"@user pero no va enfocado al violador, va para que la gente deje de excusar al violador"
00020-7,@user si las feministas on las apoyan al violador dicen de que por ser marginados de la sociedad se les debieria tratar un poco mejor para que recapaciten y lo esta en varios post de universidades en mexico de feministas
21,Hombres
22,"le di laik, ya que me sacó un par de risas :v xd"
23,Las mujeres valen cayampa
24,"El violador es tu papá!!! 
El violador es tu hermano!!!!"
25,Quiero violar una perra
26,Like si vienés por los memes
27,Pero como van a ser los vioradores los policías si son los q acuden a la violencia machista y os ayudan en contra de esto
00027-1,"No todos pero tambien hay policia asi, no todos son buenos"
00027-2,"@user Aún así, ¿no resulta excesivo marcar a la policía como violadora porque una minoría de sus componentes hayan violado?"
00027-3,"Esta canción fue creada en el contexto de represión de los pacos en el estallido social de octubre del 2019 donde abusaron (en su gran mayoría mujeres) y torturaron a mucha gente. No sólo se centra aquí el hecho, hay un laaaaaargo historial de denuncias contra la institución por abuso sexual y violación desde hace DÉCADAS, el último que indignó, fue el de un paco que violó a una mujer en una comisaría de stgo, se comprobó que era verídico y como el órgano fiscalizador de los pacos son ellos mismos, solo le dieron firma mensual, sigue en el mosmo cargo, con el mismo sueldo, etc. Y así muchos otros casos más. Pacos bastardos que violaron a mujeres detenidas en octubre fue la gota que derramo el vaso, es muy largo para explicar porque legalmente no hay justicia y es consecuencia de la CPR del 80, creada en dictadura. Los demás países adoptaron el himno porque les pareció bueno y en cierta forma se sienten identificados, pero el contexto de origen fue este."
00027-4,@user El problema és que si la cantas en España estás reclamando a España (supongo que esto demuestra como muchas feministas hablan sin saber lo que dicen y gritan sin escuchar su proclamo).
28,Viejas ridículas compren una Isla y larguen de aquí
29,😖
30,Xi
31,"El Feminicidio comienza 
con el Abortó 👶 
y la asesina🔪 eres tú👩🏻‍🎤 ,
El Violador es 
Tú Abuelo 👴 
Tú Padre 👨🏻
Tú tío 👨🏻
Tú Primo 👨🏻
Tú Hermano👨🏻 
Tú Sobrino👨🏻‍💼 
Tú Hijo 👨🏻‍💼
Tú Nieto👨🏻‍💼
Hay muchas violaciones que vienen de la misma familia.n realidad la culpa es"
00031-01,"Que te importa si una mujer aborta,no es tu problema,asesina? Un cigoto no esta consiente"
00031-02,"@user yo no entiendo por qué se dicen cosas así, osea, se supone que deben estar todas unidas :/
Además, no siempre todas las personas vamos a tener las mismas ideologías, no por decirle cosas a alguien va a cambiar su ideología :/"
00031-03,Concuerdo con la desconocida
00031-04,Yo digo que ninguna de esas fue violada son las más pendejas de todo el mundo
00031-05,Mis Huevos
00031-06,@user aa pero andas de cachondas
00031-07,"@user no todos los metodos anticonceptivos funcionan siempre,ahora le vas a prohibir a la gente Tener sexo? Pfff ridiculo"
00031-08,@user que pena matar un niño que no tiene la culpa
00031-09,"@user que pena que no sea un ser conviente,NO ES UN NIÑO,NI SIQUIERA ES UN FETO,ES UN CIGOTO"
00031-10,@user Que buena escusa para tapar sus errores
00031-11,"@user La vida humana debe ser respetada y protegida de manera absoluta desde el momento de la concepción. Desde el primer momento de su existencia, el ser humano debe ver reconocidos sus derechos de persona, entre los cuales está el derecho inviolable de todo ser inocente a la vida. ninguna mujer es Dios para quitarle la vida a una criatura más inocente que ellas."
00031-12,"@user Es SU problema ELLA decide si quiere tenerlo,y como dije antes,Un cigoto NO es un ser humano."
00031-13,@user si quieres abortar ABORTA si no no abortes pero RESPETA
32,A asombroso como a avanzado el demonio pero no sera por mucho tiempo.
33,Que ofensa tan grave para Jesûs el es un hombre a si que le están llamando violador también a el por ser hombre y por prohibir el aborto no matarasss y por haber creado para el matrimonio 👰 y la sexualidad hombre y mujer para procrear no sólo para la sexualidad.s
34,vaya panda de tontos
35,JAJAJAAJAJJ PENDEJAS
36,Q cringe deoos
37,"Y yo me pregunto, a cuantas mujeres han ayudado cantando esto?"
38,Like si te agüitas
39,Violador es el que no tuvo una familia que lo supiera educar
40,"El violador no soy yo. Los hombres no somos violadores, los (y las) que violan son violadores."
41,"que tristeza tendras los papas trabajando mas de 40 horas la semana sin vacaciones sin derecho a quejarce o a llamar enfermos o decir que no pueden mas para pagarles un techo donde vivir, un estudio una universidad, para darles comida y vestido y estas llaman al papa que es machista por que las cuidan de los peligros de la calle y demas, 
estas no se han dado cuenten que le patriarcado ya termino siglos atras?"
42,"Pinches morras mecas, bueno no les puedo decir mecas por el meco viene del hombre jajaja salu2"
43,"Se quejan porque dicen que no pueden salir a la calle desnudas porque les dicen algo , no salen porque obviamente a nadie le gustaria estar desnudo en la calle 🙄 @_x6e656d61_"
44,"Pero que paranoias se están montando, quien coño va a violar a esos crakos?"
45,Levantar el puño como hacen en el vídeo es un signo comunista de la URSS
46,Jajajaaj pinches mamadas
47,Q estupido eso como quieren respeto si ofenden eso nos deja peor
48,"aun pienso en el guerrero dragon y sus palabras llenas de sabiduria "" a la casa que hay que hacer la cena """
49,Ay que pena...
50,"NO MAMEN 
jajjajajjajajjaajjajjajajja"
51,"Por que soy violador?, con que pruebas, fuentes me lo dicen..."
52,"El violador eres tu 😂😂😂😂
Pinches morras mamonassis"
53,a los violadores les importa un carajo tu tema del verano.. mientras ustedes siguen acusando a inocentes a los violadores se les da la libertad...
54,No me quedo claro quien es el violador.
00054-01,Eres Tú!!
00054-02,@user Yo?
00054-03,@user si vos
00054-04,@user no tú
00054-05,No el.
00054-06,"@user *introduzca a burro gritando ""BURRO"" * :D"
00054-07,"Todos, ''El estado opresor és un macho violador'', el estado se conforma por sus instituciones, su territorio y su población."
00054-08,@user jajajaj hay unos comentarios súper buenos y este contenido merece saberlo
00054-09,Tu
00054-10,Ami tampoco me quedo muy claro yo soy el violador o quien?
00054-11,@user yo creo que el violador no es el ni el otro no ese que apunta al otro y después el otro dijo a ti que eres el violador pero tú no eres el violador el violador eres tú y todos pues creo que no porque el primero dijo que el violador eras tú el otro y luego el 5 pero el violador eres tú
00054-12,Yo khe
00054-13,@user me confundiste mas de lo que estaba compa
00054-14,El violador eres tu
00054-15,@user es que lo hecho pa que te confundas 😂Ā
00054-16,@user XD tremenda pelotudez
00054-17,"@user aqui podemos observar a un peculiar caso de ignorancia, al parecer no tuvo padre y no sabe la palabra coherencia"
00054-18,@user jaja nadie te pregunto
00054-19,@user no soy yo... eres tú tonces.
00054-20,@user A ver en la cancion ellas claramente dicen que eres TU entonces no soy yo. Eres TU.
00054-21,"@user acabo se escuchar el audio para verificar... y lo que dicen es que eres TU, no que soy yo... 😕_x40000000_"
00054-22,@user No tiene sentido. El audio dice que eres TU. Yo jamas violaria a nadie. Ademas son case todas inviolables😬r
00054-23,@user no he dicho que tenga sentido que seas violador... coincido contigo en que no lo tiene.
00054-24,"Nos dan a entender que nosotros los hombres somos los violadores, el Gobierno, pero a mi me viene valiendo vrga eso. saludos"
00054-25,@user Noooo ahora usted ha entorpecido el chiste😐
00054-26,@user yo creo que todo quedó bien... a mí me luce todo muy grscioso 🙄
55,Vergüenza dan todas esas marchas para legalizar el aborto imagínate cuando sea legal cuántos niños inocentes muertos todo por qué le hacer pelotudeces te gusta cojer bancatela no tiene la culpa el bebé que está entuvientre
00055-1,F
00055-2,Cachai que hoy día agrario a un evangélico y le quemaron la biblia
56,Y porque la culpa la tienen todos los hombres? Y los homosexuales o Lo transexuales o los asexuales?
00056-1,Porque la culpa no era mía no dónde estaba ni como vestia
57,"@user lowen:
""El narcisismo la enfermedad de nuestro tiempo"""
00057-1,Que tiene que ver el narcisismo con esto ?
00057-2,"@user serán porque matan a una cada 14 hras o menos ? Digo...hacer no, lo son."
00057-3,"@user en Argentina a femicidio TODOS los días y los hombres se matan entre ellos en su mayoría...fijensen en ese pequeño detalle .
Informate un poco."
