id,comment,comment_cleaned_with_stop_Words,comment_cleaned_w/o_stopWords,type_comment,related_video
1,"feminista: **apuntando a cual quier hombre normal** el violador eres tu
el hombre: ke","feminista apuntando a cual quier hombre normal el violador eres tu
el hombre ke",feminista apuntando quier hombre normal violador hombre ke,Opinion about the video or content,yes
00001-01,Gaya gachalifero,gaya gachalifero,gaya gachalifero,Personal exchange,no
00001-02,Calla gachalifero,calla gachalifero,calla gachalifero,Personal exchange,no
00001-03,@user no puedo comentar tranquilo sin que me anden comentando m1erda!,@user no puedo comentar tranquilo sin que me anden comentando munoerda,@user puedo comentar tranquilo anden comentando mierda,Personal exchange,no
00001-04,@user perdon no entiendo el idioma de niños con depression que hacen gachalife y que se cren grasiosos pq no haces tus propias animaciones en vez de usar gachalife O eres ta malo para dibujar??,@user perdon no entiendo el idioma de niños con depression que hacen gachalife y que se cren grasiosos pq no haces tus propias animaciones en vez de usar gachalife o eres ta malo para dibujar,@user perdon entiendo idioma niños depression hacen gachalife cren grasiosos pq haces propias animaciones vez usar gachalife ta malo dibujar,Evaluation of the interlocutor,no
00001-05,@user aparte ya vi uno de tus videos y tu voz es de un niño de 10-12 años,@user aparte ya vi uno de tus videos y tu voz es de un niño de mil doce años,@user aparte vi videos voz niño mil doce años,Evaluation of the interlocutor,no
00001-06,"@user si soy malo para dibujar, MALISIMO, y no estoy en depresion, solamente no puedo estar tranquilo sin que gente como tu me venga a tirar m1erda",@user si soy malo para dibujar malisimo y no estoy en depresion solamente no puedo estar tranquilo sin que gente como tu me venga a tirar munoerda,@user si malo dibujar malisimo depresion solamente puedo tranquilo gente venga tirar mierda,Personal exchange,no
00001-07,"@user y si tengo 12 años, que tiene de malo?",@user y si tengo doce años que tiene de malo,@user si doce años malo,Personal exchange,no
00001-08,@user tienes 12?? :v,@user tienes doce  ,@user doce ,Personal exchange,no
00001-09,@user si,@user si,@user si,Personal exchange,no
00001-10,@user no viste la descripción del canal?,@user no viste la descripción del canal,@user viste descripción canal,Personal exchange,no
00001-11,@user a yo igual :v,@user a yo igual  ,@user igual ,Personal exchange,no
00001-12,@user lol :v,@user lol  ,@user lol ,Personal exchange,no
00001-13,@user XD(☞ ᐛ )☞,@user,@user,Personal exchange,no
00001-14,"Es una canción para los violadores no para todos los hombre,piensen un poco porfavor",es una canción para los violadores no para todos los hombrepiensen un poco porfavor,canción violadores hombrepiensen porfavor,Opinion about the video or content,yes
00001-15,Informate,informate,informate,Personal exchange,no
00001-16,"Es una coreografía ridículo, si no sos violador no tendría por qué ofenderte.",es una coreografía ridículo si no sos violador no tendría por qué ofenderte,coreografía ridículo si sos violador ofenderte,Opinion about the video or content,yes
00001-17,@user Se enojo la feminista es solo umor entiendes umor y no deberias de decir ridiculo pq el lo iso con intension de umooor,@user se enojo la feminista es solo umor entiendes umor y no deberias de decir ridiculo pq el lo iso con intension de umor,@user enojo feminista solo umor entiendes umor deberias decir ridiculo pq iso intension umor,Personal exchange,no
00001-18,"@user También hay hombres anormales que no violan. Así que, más bien sería que enoja porque apunta a todos los hombres independientemente de su inocencia o culpabilidad.",@user también hay hombres anormales que no violan así que más bien sería que enoja porque apunta a todos los hombres independientemente de su inocencia o culpabilidad,@user hombres anormales violan así bien enoja apunta hombres independientemente inocencia culpabilidad,Opinion about the video or content,yes
00001-19,@user por fin alguien con neuronas,@user por fin alguien con neuronas,@user fin alguien neuronas,Evaluation of the interlocutor,no
00001-20,@user però tu eres tonto ? Estuviera generalizando si dijera “ el hombre eras tú “ si tú te sientes identificado como violador pues será por algo,@user però tu eres tonto estuviera generalizando si dijera “ el hombre eras tú “ si tú te sientes identificado como violador pues será por algo,@user però tonto generalizando si dijera hombre si sientes identificado violador pues,Personal exchange,no
00001-21,@user que pedo contigo el man apenas es un niño y le dices violador y tonto,@user que pedo contigo el man apenas es un niño y le dices violador y tonto,@user pedo contigo man apenas niño dices violador tonto,Personal exchange,no
00001-22,PeRo Si SoLo SoY uN nIñO :'(,pero si solo soy un niño,si solo niño,Personal exchange,no
00001-23,@user nos estas diciendo sin neuronas si es Asi que miserable eres,@user nos estas diciendo sin neuronas si es asi que miserable eres,@user diciendo neuronas si asi miserable,Evaluation of the interlocutor,no
00001-24,primero para mi se equivocaron yo creo que cualquier hombre que tenga preferencias sexuales hacia la mujer la ha visto alguna vez de una forma morbosa asi que esta cancion tiene mucha razon,primero para mi se equivocaron yo creo que cualquier hombre que tenga preferencias sexuales hacia la mujer la ha visto alguna vez de una forma morbosa asi que esta cancion tiene mucha razon,primero equivocaron creo cualquier hombre preferencias sexuales hacia mujer visto alguna vez forma morbosa asi cancion mucha razon,Opinion about the video or content,yes
00001-25,@user o sea que todos somos viol4dores?,@user o sea que todos somos violcuatrodores,@user violcuatrodores,Opinion about the video or content,yes
00001-26,"@user,tranqui,es que no es tan complicado entender de queva la cancion,si no eres violador no te tendria que ofender,la cancion va dirigida a los violadores",@usertranquies que no es tan complicado entender de queva la cancionsi no eres violador no te tendria que ofenderla cancion va dirigida a los violadores,@usertranquies tan complicado entender queva cancionsi violador tendria ofenderla cancion va dirigida violadores,Personal exchange,no
2,Ojo el feminismo es atacado y no se lo toman en serio si no hacen memes y al machismo por lo regular no le hacen nada yo pienso que esto será una lucha sin final por quien tiene la razón.,ojo el feminismo es atacado y no se lo toman en serio si no hacen memes y al machismo por lo regular no le hacen nada yo pienso que esto será una lucha sin final por quien tiene la razón,ojo feminismo atacado toman serio si hacen memes machismo regular hacen pienso lucha final razón,Opinion about the video or content,yes
3,No mamen ya felizes las feministas,no mamen ya felizes las feministas,mamen felizes feministas,Opinion about the video or content,yes
4,Jajajaja me dan risa y lastima viejas pagadas por el pri,jajajaja me dan risa y lastima viejas pagadas por el pri,jajajaja dan risa lastima viejas pagadas pri,Opinion about the video or content,yes
