id,comment,comment_cleaned_w_stopWords,comment_cleaned_w/o_stopWords,corpus_name,gold_labels,predictions
00001-01,Gaya gachalifero,gaya gachalifero,Gaya gachalifero,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-02,Calla gachalifero,calla gachalifero,Calla gachalifero,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-03,@user no puedo comentar tranquilo sin que me anden comentando m1erda!,@user no puedo comentar tranquilo sin que me anden comentando munoerda,@user puedo comentar tranquilo anden comentando m1erda!,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-04,@user perdon no entiendo el idioma de niños con depression que hacen gachalife y que se cren grasiosos pq no haces tus propias animaciones en vez de usar gachalife O eres ta malo para dibujar??,@user perdon no entiendo el idioma de niños con depression que hacen gachalife y que se cren grasiosos pq no haces tus propias animaciones en vez de usar gachalife o eres ta malo para dibujar,@user perdon entiendo idioma niños depression hacen gachalife cren grasiosos pq haces propias animaciones vez usar gachalife O malo dibujar??,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-05,@user aparte ya vi uno de tus videos y tu voz es de un niño de 10-12 años,@user aparte ya vi uno de tus videos y tu voz es de un niño de mil doce años,@user aparte vi videos voz niño 10-12 años,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-06,"@user si soy malo para dibujar, MALISIMO, y no estoy en depresion, solamente no puedo estar tranquilo sin que gente como tu me venga a tirar m1erda",@user si soy malo para dibujar malisimo y no estoy en depresion solamente no puedo estar tranquilo sin que gente como tu me venga a tirar munoerda,"@user malo dibujar, MALISIMO, depresion, solamente puedo tranquilo gente venga tirar m1erda",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-07,"@user y si tengo 12 años, que tiene de malo?",@user y si tengo doce años que tiene de malo,"@user 12 años, malo?",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-08,@user tienes 12?? :v,@user tienes doce v,@user 12?? :v,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-09,@user si,@user si,@user,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-10,@user no viste la descripción del canal?,@user no viste la descripción del canal,@user viste descripción canal?,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-11,@user a yo igual :v,@user a yo igual v,@user igual :v,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
